Date : 2024-12-22 08:12:24
Directory : d:\final_project
Total : 2984 files,  759495 codes, 61800 comments, 171248 blanks, all 992543 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\DamerauLevenshtein.py                                    | Python           |          7 |          2 |          3 |         12 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\DamerauLevenshtein.pyi                                   | Python           |         68 |          2 |          5 |         75 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\DamerauLevenshtein_py.py                                 | Python           |        194 |          2 |         38 |        234 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Hamming.py                                               | Python           |          9 |          2 |          3 |         14 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Hamming.pyi                                              | Python           |        105 |          2 |          6 |        113 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Hamming_py.py                                            | Python           |        270 |          3 |         50 |        323 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Indel.py                                                 | Python           |          9 |          2 |          3 |         14 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Indel.pyi                                                | Python           |         97 |          2 |          6 |        105 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Indel_py.py                                              | Python           |        296 |          2 |         59 |        357 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Jaro.py                                                  | Python           |          7 |          2 |          3 |         12 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Jaro.pyi                                                 | Python           |         68 |          2 |          5 |         75 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\JaroWinkler.py                                           | Python           |          7 |          2 |          3 |         12 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\JaroWinkler.pyi                                          | Python           |         76 |          2 |          5 |         83 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\JaroWinkler_py.py                                        | Python           |        201 |          2 |         33 |        236 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Jaro_py.py                                               | Python           |        203 |         10 |         43 |        256 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\LCSseq.py                                                | Python           |          9 |          2 |          3 |         14 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\LCSseq.pyi                                               | Python           |         97 |          2 |          6 |        105 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\LCSseq_py.py                                             | Python           |        344 |          8 |         75 |        427 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Levenshtein.py                                           | Python           |         15 |          2 |          3 |         20 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Levenshtein.pyi                                          | Python           |        123 |          2 |          6 |        131 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Levenshtein_py.py                                        | Python           |        467 |         13 |         92 |        572 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\OSA.py                                                   | Python           |          7 |          2 |          3 |         12 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\OSA.pyi                                                  | Python           |         68 |          2 |          5 |         75 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\OSA_py.py                                                | Python           |        189 |          6 |         38 |        233 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Postfix.py                                               | Python           |          7 |          2 |          3 |         12 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Postfix.pyi                                              | Python           |         68 |          2 |          5 |         75 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Postfix_py.py                                            | Python           |        151 |          2 |         30 |        183 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Prefix.py                                                | Python           |          7 |          2 |          3 |         12 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Prefix.pyi                                               | Python           |         68 |          2 |          5 |         75 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\Prefix_py.py                                             | Python           |        151 |          2 |         30 |        183 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\__init__.py                                              | Python           |         32 |          2 |          4 |         38 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\__init__.pyi                                             | Python           |         17 |          2 |          3 |         22 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\_initialize.py                                           | Python           |         17 |          0 |          4 |         21 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\_initialize.pyi                                          | Python           |        116 |          2 |         16 |        134 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\_initialize_py.py                                        | Python           |        710 |         11 |        164 |        885 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\distance\metrics_py.py                                            | Python           |        244 |         12 |         57 |        313 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\fuzz.py                                                           | Python           |         27 |          2 |          4 |         33 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\fuzz.pyi                                                          | Python           |        181 |          2 |          6 |        189 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\fuzz_py.py                                                        | Python           |        697 |         26 |        156 |        879 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\process.py                                                        | Python           |          8 |          2 |          4 |         14 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\process.pyi                                                       | Python           |        418 |          6 |         12 |        436 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\process_cpp.py                                                    | Python           |         99 |          2 |         13 |        114 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\process_py.py                                                     | Python           |        554 |          7 |        117 |        678 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\utils.py                                                          | Python           |          4 |          2 |          5 |         11 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\utils.pyi                                                         | Python           |          4 |          2 |          5 |         11 |
| d:\final_project\.venv\Lib\site-packages\rapidfuzz\utils_py.py                                                       | Python           |         20 |          2 |         11 |         33 |
| d:\final_project\.venv\Lib\site-packages\requests\__init__.py                                                        | Python           |        132 |         19 |         34 |        185 |
| d:\final_project\.venv\Lib\site-packages\requests\__version__.py                                                     | Python           |         10 |          3 |          2 |         15 |
| d:\final_project\.venv\Lib\site-packages\requests\_internal_utils.py                                                 | Python           |         40 |          0 |         11 |         51 |
| d:\final_project\.venv\Lib\site-packages\requests\adapters.py                                                        | Python           |        585 |         24 |        111 |        720 |
| d:\final_project\.venv\Lib\site-packages\requests\api.py                                                             | Python           |        117 |          3 |         38 |        158 |
| d:\final_project\.venv\Lib\site-packages\requests\auth.py                                                            | Python           |        223 |         27 |         65 |        315 |
| d:\final_project\.venv\Lib\site-packages\requests\certs.py                                                           | Python           |         12 |          1 |          5 |         18 |
| d:\final_project\.venv\Lib\site-packages\requests\compat.py                                                          | Python           |         63 |         14 |         18 |         95 |
| d:\final_project\.venv\Lib\site-packages\requests\cookies.py                                                         | Python           |        439 |         12 |        111 |        562 |
| d:\final_project\.venv\Lib\site-packages\requests\exceptions.py                                                      | Python           |         91 |          1 |         60 |        152 |
| d:\final_project\.venv\Lib\site-packages\requests\help.py                                                            | Python           |        112 |          0 |         23 |        135 |
| d:\final_project\.venv\Lib\site-packages\requests\hooks.py                                                           | Python           |         23 |          1 |         10 |         34 |
| d:\final_project\.venv\Lib\site-packages\requests\models.py                                                          | Python           |        740 |        116 |        182 |      1,038 |
| d:\final_project\.venv\Lib\site-packages\requests\packages.py                                                        | Python           |         15 |          4 |          5 |         24 |
| d:\final_project\.venv\Lib\site-packages\requests\sessions.py                                                        | Python           |        566 |        116 |        150 |        832 |
| d:\final_project\.venv\Lib\site-packages\requests\status_codes.py                                                    | Python           |        112 |          4 |         13 |        129 |
| d:\final_project\.venv\Lib\site-packages\requests\structures.py                                                      | Python           |         67 |          5 |         28 |        100 |
| d:\final_project\.venv\Lib\site-packages\requests\utils.py                                                           | Python           |        776 |         87 |        234 |      1,097 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt-1.0.0.dist-info\AUTHORS.rst                               | reStructuredText |         30 |          0 |         28 |         58 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\__init__.py                                               | Python           |         28 |          1 |          6 |         35 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\_compat.py                                                | Python           |        235 |         15 |         53 |        303 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\adapters\__init__.py                                      | Python           |         10 |          1 |          5 |         16 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\adapters\appengine.py                                     | Python           |        138 |         15 |         54 |        207 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\adapters\fingerprint.py                                   | Python           |         34 |          1 |         14 |         49 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\adapters\host_header_ssl.py                               | Python           |         28 |          3 |         13 |         44 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\adapters\socket_options.py                                | Python           |         95 |          6 |         29 |        130 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\adapters\source.py                                        | Python           |         52 |          1 |         15 |         68 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\adapters\ssl.py                                           | Python           |         46 |          4 |         17 |         67 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\adapters\x509.py                                          | Python           |        161 |          1 |         35 |        197 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\auth\__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\auth\_digest_auth_compat.py                               | Python           |         21 |          0 |          9 |         30 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\auth\guess.py                                             | Python           |        105 |         10 |         32 |        147 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\auth\handler.py                                           | Python           |         95 |          5 |         43 |        143 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\auth\http_proxy_digest.py                                 | Python           |         77 |          8 |         19 |        104 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\cookies\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\cookies\forgetful.py                                      | Python           |          5 |          0 |          3 |          8 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\downloadutils\__init__.py                                 | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\downloadutils\stream.py                                   | Python           |        126 |          9 |         42 |        177 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\downloadutils\tee.py                                      | Python           |         83 |          8 |         33 |        124 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\exceptions.py                                             | Python           |         16 |          1 |          9 |         26 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\multipart\__init__.py                                     | Python           |         26 |          0 |          6 |         32 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\multipart\decoder.py                                      | Python           |        114 |          5 |         38 |        157 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\multipart\encoder.py                                      | Python           |        467 |         26 |        163 |        656 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\sessions.py                                               | Python           |         66 |          0 |         24 |         90 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\streaming_iterator.py                                     | Python           |         73 |         12 |         32 |        117 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\threaded\__init__.py                                      | Python           |         70 |          2 |         26 |         98 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\threaded\pool.py                                          | Python           |        162 |          4 |         46 |        212 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\threaded\thread.py                                        | Python           |         43 |          0 |         11 |         54 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\utils\__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\utils\deprecated.py                                       | Python           |         66 |          3 |         23 |         92 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\utils\dump.py                                             | Python           |        139 |          8 |         52 |        199 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\utils\formdata.py                                         | Python           |         79 |          3 |         27 |        109 |
| d:\final_project\.venv\Lib\site-packages\requests_toolbelt\utils\user_agent.py                                       | Python           |        110 |          1 |         33 |        144 |
| d:\final_project\.venv\Lib\site-packages\rsa\__init__.py                                                             | Python           |         38 |         14 |          9 |         61 |
| d:\final_project\.venv\Lib\site-packages\rsa\asn1.py                                                                 | Python           |         27 |         14 |         12 |         53 |
| d:\final_project\.venv\Lib\site-packages\rsa\cli.py                                                                  | Python           |        231 |         16 |         75 |        322 |
| d:\final_project\.venv\Lib\site-packages\rsa\common.py                                                               | Python           |        121 |         17 |         47 |        185 |
| d:\final_project\.venv\Lib\site-packages\rsa\core.py                                                                 | Python           |         25 |         13 |         16 |         54 |
| d:\final_project\.venv\Lib\site-packages\rsa\key.py                                                                  | Python           |        585 |         53 |        221 |        859 |
| d:\final_project\.venv\Lib\site-packages\rsa\parallel.py                                                             | Python           |         52 |         17 |         28 |         97 |
| d:\final_project\.venv\Lib\site-packages\rsa\pem.py                                                                  | Python           |         73 |         22 |         40 |        135 |
| d:\final_project\.venv\Lib\site-packages\rsa\pkcs1.py                                                                | Python           |        316 |         38 |        132 |        486 |
| d:\final_project\.venv\Lib\site-packages\rsa\pkcs1_v2.py                                                             | Python           |         63 |         18 |         20 |        101 |
| d:\final_project\.venv\Lib\site-packages\rsa\prime.py                                                                | Python           |        121 |         30 |         48 |        199 |
| d:\final_project\.venv\Lib\site-packages\rsa\randnum.py                                                              | Python           |         45 |         22 |         29 |         96 |
| d:\final_project\.venv\Lib\site-packages\rsa\transform.py                                                            | Python           |         40 |         13 |         20 |         73 |
| d:\final_project\.venv\Lib\site-packages\rsa\util.py                                                                 | Python           |         65 |         17 |         16 |         98 |
| d:\final_project\.venv\Lib\site-packages\shellingham\__init__.py                                                     | Python           |         19 |          0 |          5 |         24 |
| d:\final_project\.venv\Lib\site-packages\shellingham\_core.py                                                        | Python           |          9 |          0 |          3 |         12 |
| d:\final_project\.venv\Lib\site-packages\shellingham\nt.py                                                           | Python           |        122 |          6 |         36 |        164 |
| d:\final_project\.venv\Lib\site-packages\shellingham\posix\__init__.py                                               | Python           |         92 |          3 |         18 |        113 |
| d:\final_project\.venv\Lib\site-packages\shellingham\posix\_core.py                                                  | Python           |          2 |          0 |          2 |          4 |
| d:\final_project\.venv\Lib\site-packages\shellingham\posix\proc.py                                                   | Python           |         51 |         12 |         21 |         84 |
| d:\final_project\.venv\Lib\site-packages\shellingham\posix\ps.py                                                     | Python           |         37 |          7 |          8 |         52 |
| d:\final_project\.venv\Lib\site-packages\six.py                                                                      | Python           |        755 |         53 |        191 |        999 |
| d:\final_project\.venv\Lib\site-packages\slugify\__init__.py                                                         | Python           |         10 |          0 |          1 |         11 |
| d:\final_project\.venv\Lib\site-packages\slugify\__main__.py                                                         | Python           |         80 |          0 |         19 |         99 |
| d:\final_project\.venv\Lib\site-packages\slugify\__version__.py                                                      | Python           |          8 |          0 |          1 |          9 |
| d:\final_project\.venv\Lib\site-packages\slugify\slugify.py                                                          | Python           |        145 |         17 |         36 |        198 |
| d:\final_project\.venv\Lib\site-packages\slugify\special.py                                                          | Python           |         35 |          3 |         10 |         48 |
| d:\final_project\.venv\Lib\site-packages\sniffio\__init__.py                                                         | Python           |         14 |          0 |          4 |         18 |
| d:\final_project\.venv\Lib\site-packages\sniffio\_impl.py                                                            | Python           |         67 |          6 |         23 |         96 |
| d:\final_project\.venv\Lib\site-packages\sniffio\_tests\__init__.py                                                  | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\sniffio\_tests\test_sniffio.py                                              | Python           |         58 |          2 |         25 |         85 |
| d:\final_project\.venv\Lib\site-packages\sniffio\_version.py                                                         | Python           |          1 |          1 |          2 |          4 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\__init__.py                                                      | Python           |        276 |          6 |         13 |        295 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\connectors\__init__.py                                           | Python           |          6 |          6 |          7 |         19 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\connectors\aioodbc.py                                            | Python           |        118 |         21 |         36 |        175 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\connectors\asyncio.py                                            | Python           |        144 |         14 |         56 |        214 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\connectors\pyodbc.py                                             | Python           |        178 |         31 |         41 |        250 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\cyextension\__init__.py                                          | Python           |          0 |          6 |          1 |          7 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\__init__.py                                             | Python           |         37 |         10 |         15 |         62 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\_typing.py                                              | Python           |         15 |          6 |          5 |         26 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mssql\__init__.py                                       | Python           |         76 |          7 |          6 |         89 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mssql\aioodbc.py                                        | Python           |         37 |          7 |         21 |         65 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mssql\base.py                                           | Python           |      3,159 |        139 |        713 |      4,011 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mssql\information_schema.py                             | Python           |        210 |          8 |         37 |        255 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mssql\json.py                                           | Python           |         83 |         18 |         33 |        134 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mssql\provision.py                                      | Python           |        120 |         14 |         29 |        163 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mssql\pymssql.py                                        | Python           |         90 |         11 |         26 |        127 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mssql\pyodbc.py                                         | Python           |        536 |         47 |        163 |        746 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\__init__.py                                       | Python           |         89 |          8 |          5 |        102 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\aiomysql.py                                       | Python           |        227 |         29 |         78 |        334 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\asyncmy.py                                        | Python           |        235 |         25 |         78 |        338 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\base.py                                           | Python           |      2,710 |        162 |        623 |      3,495 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\cymysql.py                                        | Python           |         55 |          9 |         21 |         85 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\dml.py                                            | Python           |        160 |         10 |         50 |        220 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\enumerated.py                                     | Python           |        171 |         15 |         59 |        245 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\expression.py                                     | Python           |         96 |          7 |         39 |        142 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\json.py                                           | Python           |         52 |          7 |         23 |         82 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\mariadb.py                                        | Python           |         20 |          7 |          6 |         33 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\mariadbconnector.py                               | Python           |        205 |         21 |         52 |        278 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\mysqlconnector.py                                 | Python           |        127 |         11 |         43 |        181 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\mysqldb.py                                        | Python           |        222 |         19 |         63 |        304 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\provision.py                                      | Python           |         70 |         17 |         24 |        111 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\pymysql.py                                        | Python           |         99 |          7 |         32 |        138 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\pyodbc.py                                         | Python           |         90 |         17 |         32 |        139 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\reflection.py                                     | Python           |        509 |         64 |        105 |        678 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\reserved_words.py                                 | Python           |        548 |         20 |          4 |        572 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\mysql\types.py                                          | Python           |        513 |         12 |        250 |        775 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\oracle\__init__.py                                      | Python           |         55 |          8 |          5 |         68 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\oracle\base.py                                          | Python           |      2,678 |        122 |        472 |      3,272 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\oracle\cx_oracle.py                                     | Python           |      1,056 |        129 |        299 |      1,484 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\oracle\dictionary.py                                    | Python           |        467 |         20 |         21 |        508 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\oracle\oracledb.py                                      | Python           |        314 |         13 |        105 |        432 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\oracle\provision.py                                     | Python           |        156 |         25 |         40 |        221 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\oracle\types.py                                         | Python           |        197 |          8 |         83 |        288 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\__init__.py                                  | Python           |        152 |          8 |          8 |        168 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\_psycopg_common.py                           | Python           |        135 |         16 |         37 |        188 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\array.py                                     | Python           |        309 |         16 |        101 |        426 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\asyncpg.py                                   | Python           |        951 |         45 |        279 |      1,275 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\base.py                                      | Python           |      4,034 |        172 |        803 |      5,009 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\dml.py                                       | Python           |        246 |          6 |         59 |        311 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\ext.py                                       | Python           |        366 |         12 |        119 |        497 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\hstore.py                                    | Python           |        272 |         16 |        110 |        398 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\json.py                                      | Python           |        236 |         11 |         87 |        334 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\named_types.py                               | Python           |        393 |          8 |        109 |        510 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\operators.py                                 | Python           |         96 |         14 |         20 |        130 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\pg8000.py                                    | Python           |        477 |         21 |        165 |        663 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\pg_catalog.py                                | Python           |        260 |         11 |         30 |        301 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\provision.py                                 | Python           |        137 |          8 |         31 |        176 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\psycopg.py                                   | Python           |        544 |         25 |        204 |        773 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\psycopg2.py                                  | Python           |        627 |         37 |        223 |        887 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\psycopg2cffi.py                              | Python           |         37 |         10 |         15 |         62 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\ranges.py                                    | Python           |        737 |         66 |        227 |      1,030 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\postgresql\types.py                                     | Python           |        187 |          9 |        108 |        304 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\sqlite\__init__.py                                      | Python           |         44 |          8 |          6 |         58 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\sqlite\aiosqlite.py                                     | Python           |        278 |         26 |         93 |        397 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\sqlite\base.py                                          | Python           |      2,201 |        116 |        489 |      2,806 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\sqlite\dml.py                                           | Python           |        187 |          6 |         48 |        241 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\sqlite\json.py                                          | Python           |         57 |         10 |         26 |         93 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\sqlite\provision.py                                     | Python           |        132 |         15 |         52 |        199 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\sqlite\pysqlcipher.py                                   | Python           |        103 |         10 |         43 |        156 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\dialects\sqlite\pysqlite.py                                      | Python           |        536 |         41 |        180 |        757 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\__init__.py                                               | Python           |         52 |          6 |          5 |         63 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\_py_processors.py                                         | Python           |         99 |          9 |         29 |        137 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\_py_row.py                                                | Python           |         95 |          9 |         25 |        129 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\_py_util.py                                               | Python           |         49 |         14 |         12 |         75 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\base.py                                                   | Python           |      2,627 |         90 |        659 |      3,376 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\characteristics.py                                        | Python           |        113 |          6 |         37 |        156 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\create.py                                                 | Python           |        650 |         32 |        194 |        876 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\cursor.py                                                 | Python           |      1,657 |        127 |        398 |      2,182 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\default.py                                                | Python           |      1,850 |        121 |        395 |      2,366 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\events.py                                                 | Python           |        748 |         10 |        194 |        952 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\interfaces.py                                             | Python           |      2,423 |         17 |        964 |      3,404 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\mock.py                                                   | Python           |         90 |          9 |         33 |        132 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\processors.py                                             | Python           |         42 |         12 |          8 |         62 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\reflection.py                                             | Python           |      1,694 |         36 |        369 |      2,099 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\result.py                                                 | Python           |      1,739 |         36 |        608 |      2,383 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\row.py                                                    | Python           |        276 |          6 |        120 |        402 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\strategies.py                                             | Python           |          6 |          6 |          8 |         20 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\url.py                                                    | Python           |        708 |         11 |        192 |        911 |
| d:\final_project\.venv\Lib\site-packages\sqlalchemy\engine\util.py                                                   | Python           |        116 |         15 |         37 |        168 |
